,cusip,vol_1,ret_1,bid_1,ask_1,shrout_1,prc_1,vol_2,ret_2,bid_2,ask_2,shrout_2,prc_2,vol_3,ret_3,bid_3,ask_3,shrout_3,prc_3,vol_4,ret_4,bid_4,ask_4,shrout_4,prc_4,vol_5,ret_5,bid_5,ask_5,shrout_5,prc_5,vol_6,ret_6,bid_6,ask_6,shrout_6,prc_6,vol_7,ret_7,bid_7,ask_7,shrout_7,prc_7,vol_8,ret_8,bid_8,ask_8,shrout_8,prc_8,vol_9,ret_9,bid_9,ask_9,shrout_9,prc_9,vol_10,ret_10,bid_10,ask_10,shrout_10,prc_10,vol_11,ret_11,bid_11,ask_11,shrout_11,prc_11,vol_12,ret_12,bid_12,ask_12,shrout_12,prc_12,vol_13,ret_13,bid_13,ask_13,shrout_13,prc_13,vol_14,ret_14,bid_14,ask_14,shrout_14,prc_14,vol_15,ret_15,bid_15,ask_15,shrout_15,prc_15,vol_16,ret_16,bid_16,ask_16,shrout_16,prc_16,vol_17,ret_17,bid_17,ask_17,shrout_17,prc_17,vol_18,ret_18,bid_18,ask_18,shrout_18,prc_18,vol_19,ret_19,bid_19,ask_19,shrout_19,prc_19,vol_20,ret_20,bid_20,ask_20,shrout_20,prc_20,vol_21,ret_21,bid_21,ask_21,shrout_21,prc_21,vol_22,ret_22,bid_22,ask_22,shrout_22,prc_22,vol_23,ret_23,bid_23,ask_23,shrout_23,prc_23,vol_24,ret_24,bid_24,ask_24,shrout_24,prc_24,vol_25,ret_25,bid_25,ask_25,shrout_25,prc_25,vol_26,ret_26,bid_26,ask_26,shrout_26,prc_26,vol_27,ret_27,bid_27,ask_27,shrout_27,prc_27,vol_28,ret_28,bid_28,ask_28,shrout_28,prc_28,vol_29,ret_29,bid_29,ask_29,shrout_29,prc_29,vol_30,ret_30,bid_30,ask_30,shrout_30,prc_30,vol_31,ret_31,bid_31,ask_31,shrout_31,prc_31,vol_32,ret_32,bid_32,ask_32,shrout_32,prc_32,vol_33,ret_33,bid_33,ask_33,shrout_33,prc_33,vol_34,ret_34,bid_34,ask_34,shrout_34,prc_34,vol_35,ret_35,bid_35,ask_35,shrout_35,prc_35,vol_36,ret_36,bid_36,ask_36,shrout_36,prc_36
0,69830110,1096.0,0.266666680574417,0.59375,0.6875,3711.0,0.59375,253.0,0.0,0.59375,0.65625,3711.0,0.59375,602.0,0.0,0.5625,0.625,3711.0,-0.59375,878.0,-0.263157904148102,0.375,0.5,3711.0,-0.4375,159.0,-0.0714285746216774,0.375,0.4375,3711.0,-0.40625,1401.0,0.0769230797886848,0.375,0.4375,3655.0,0.4375,1809.0,0.357142865657806,0.5625,0.625,3655.0,-0.59375,296.0,-0.105263158679008,0.5,0.5625,3655.0,-0.53125,1544.0,-0.0588235296308994,0.46875,0.5,3540.0,0.5,1351.0,0.5,0.6875,0.8125,3540.0,0.75,8527.0,0.833333313465118,1.25,1.625,3540.0,1.375,799.0,0.0,1.25,1.75,3540.0,1.375,2826.0,0.363636374473572,1.75,2.0,3540.0,1.875,898.0,0.0,1.5,1.875,3540.0,1.875,527.0,-0.266666680574417,1.25,1.5,3540.0,-1.375,1047.0,0.0454545468091965,1.4375,1.625,3540.0,1.4375,1006.0,0.0434782616794109,1.5,1.75,3540.0,1.5,1214.0,-0.0833333358168602,1.25,1.75,3540.0,1.375,1040.0,0.272727280855179,1.5,2.0,3540.0,1.75,691.0,-0.107142858207226,1.25,1.875,3540.0,-1.5625,427.0,-0.159999996423721,1.125,1.5,3538.0,-1.3125,2205.0,0.428571432828903,1.625,2.0,3538.0,1.875,5454.0,0.400000005960464,2.5,2.875,3538.0,2.625,2214.0,-0.0476190485060215,2.5,2.875,3538.0,2.5,2287.0,0.0500000007450581,2.625,2.875,3538.0,2.625,1557.0,0.095238097012043,2.625,2.875,3538.0,2.875,1852.0,-0.0434782616794109,2.5,2.875,3545.0,2.75,667.0,-0.181818187236786,2.25,2.5,3545.0,2.25,1924.0,0.444444447755814,2.875,3.25,3545.0,3.25,669.0,-0.230769231915474,2.5,3.125,3545.0,2.5,1025.0,-0.0500000007450581,2.25,2.5,3545.0,-2.375,1050.0,-0.0263157896697521,2.0,2.5,3545.0,2.3125,938.0,0.135135129094124,2.25,2.625,3552.0,2.625,705.0,-0.238095238804817,1.875,2.25,3552.0,2.0,441.0,0.0,2.0,2.5,3552.0,2.0,782.0,0.125,2.0,2.25,3542.0,2.25
1,46978310,614.0,0.5,1.75,2.0,1709.0,-1.875,313.0,0.266666680574417,2.125,2.375,1709.0,2.375,646.0,0.0526315793395042,2.5,2.625,1709.0,2.5,532.0,0.0500000007450581,2.375,2.625,1709.0,2.625,2019.0,0.28571429848671,3.125,3.625,1709.0,-3.375,3477.0,0.0740740746259689,3.625,4.0,1709.0,3.625,1007.0,-0.0344827584922314,3.375,3.625,1709.0,-3.5,1166.0,0.0714285746216774,3.75,4.125,1709.0,3.75,1593.0,0.266666680574417,4.75,5.125,1709.0,4.75,2212.0,0.236842110753059,5.625,6.0,1709.0,5.875,2723.0,0.170212760567665,6.875,7.125,1709.0,6.875,2095.0,-0.163636356592178,5.75,6.0,1709.0,5.75,1832.0,0.260869562625885,7.25,7.75,1709.0,7.25,1027.0,-0.172413796186447,5.75,6.5,1709.0,6.0,823.0,0.0416666679084301,6.0,6.5,1709.0,6.25,1323.0,0.159999996423721,7.0,7.5,1709.0,7.25,2166.0,0.0344827584922314,7.25,7.5,1709.0,7.5,930.0,0.0333333350718021,7.25,7.75,1709.0,7.75,1920.0,0.0645161271095276,8.0,8.25,1709.0,8.25,2646.0,0.151515156030655,9.0,9.5,1709.0,9.5,4568.0,0.0526315793395042,9.5,10.125,1709.0,10.0,2885.0,-0.0625,9.25,10.0,1709.0,9.375,3005.0,-0.0266666673123837,8.75,9.25,1709.0,9.125,1398.0,-0.0684931501746178,8.5,8.75,1709.0,8.5,1845.0,0.0441176481544971,8.25,8.875,1709.0,8.875,1261.0,-0.183098584413528,7.0,7.5,1709.0,7.25,1440.0,0.103448279201984,7.75,8.25,1709.0,8.0,1649.0,0.0,7.75,8.0,1709.0,8.0,655.0,0.015625,7.5,8.125,1709.0,8.125,796.0,-0.138461545109749,6.25,7.0,1652.0,7.0,168.0,-0.0714285746216774,6.5,7.0,1652.0,6.5,608.0,-0.0384615398943424,6.125,6.75,1652.0,6.25,990.0,0.0,6.0,6.75,1652.0,6.25,1674.0,0.200000002980232,7.5,8.125,1652.0,7.5,1262.0,-0.150000005960465,6.375,7.125,1652.0,6.375,1160.0,0.137254908680916,7.0,7.25,1680.0,7.25
2,20451310,1446.0,-0.176470592617989,1.75,1.875,2089.0,1.75,1964.0,0.0714285746216774,1.625,1.875,2089.0,1.875,1768.0,-0.400000005960464,1.0,1.125,2089.0,1.125,1613.0,-0.277777791023254,0.625,0.875,2089.0,0.8125,763.0,-0.230769231915474,0.625,0.875,2089.0,0.625,310.0,0.200000002980232,0.75,0.875,2089.0,0.75,433.0,0.16666667163372,0.5,0.875,2089.0,0.875,288.0,-0.142857149243355,0.625,0.875,2089.0,-0.75,429.0,0.0,0.75,1.0,2089.0,0.75,942.0,0.5,0.875,1.125,2089.0,1.125,2758.0,0.555555582046509,1.625,1.875,2089.0,-1.75,2028.0,0.142857149243355,2.0,2.25,2929.0,2.0,5659.0,0.5,3.0,3.25,2929.0,3.0,1960.0,0.0,3.0,3.375,2929.0,3.0,874.0,-0.0416666679084301,2.875,3.125,3349.0,2.875,672.0,0.0434782616794109,2.75,3.0,3349.0,3.0,942.0,-0.333333343267441,1.875,2.125,3349.0,2.0,1017.0,0.0625,2.0,2.25,3356.0,2.125,399.0,-0.0588235296308994,1.875,2.125,3356.0,-2.0,3482.0,0.0625,1.9375,2.125,3356.0,2.125,1661.0,0.0882352963089943,2.125,2.5,4507.0,-2.3125,1590.0,-0.0270270276814699,2.25,2.5,4507.0,2.25,921.0,0.16666667163372,2.375,2.75,4507.0,2.625,1922.0,0.0476190485060215,2.625,2.875,4513.0,-2.75,2559.0,-0.0909090936183929,2.125,2.5,4513.0,2.5,1681.0,-0.150000005960465,2.125,2.5,4513.0,2.125,1262.0,0.0,2.125,2.375,4520.0,2.125,838.0,-0.0588235296308994,1.75,2.0,4520.0,2.0,697.0,-0.0625,1.875,2.125,4520.0,1.875,2144.0,0.0,1.875,2.125,4527.0,1.875,727.0,0.0,1.75,2.0,4527.0,-1.875,2153.0,0.266666680574417,2.375,2.625,4527.0,2.375,4431.0,0.105263158679008,2.5,2.625,4537.0,2.625,1986.0,-0.142857149243355,2.25,2.5,4537.0,2.25,1574.0,0.111111111938953,2.5,2.625,4537.0,2.5,2794.0,0.100000001490116,2.625,2.875,4537.0,2.75
3,12018220,2194.0,0.16666667163372,0.40625,0.4375,9102.0,0.4375,1367.0,-0.0714285746216774,0.40625,0.4375,9102.0,0.40625,15834.0,0.230769231915474,0.46875,0.5,9102.0,0.5,14462.0,0.0,0.46875,0.5,9102.0,0.5,11245.0,-0.03125,0.46875,0.5,9102.0,-0.484375,14868.0,0.354838699102402,0.65625,0.75,9102.0,0.65625,28022.0,0.28571429848671,0.90625,0.96875,9102.0,0.84375,6003.0,0.111111111938953,0.9375,0.96875,9102.0,0.9375,1699.0,-0.266666680574417,0.6875,0.8125,10554.0,0.6875,1888.0,0.0909090936183929,0.75,0.875,10554.0,0.75,9273.0,0.416666656732559,1.0625,1.125,10554.0,1.0625,12056.0,0.117647059261799,1.1875,1.21875,10654.0,1.1875,10825.0,0.0,1.1875,1.3125,10654.0,1.1875,5677.0,-0.0789473652839661,1.03125,1.09375,10654.0,1.09375,4226.0,-0.142857149243355,0.9375,1.0,12480.0,0.9375,4664.0,0.0666666701436043,0.90625,1.0,12480.0,1.0,7329.0,0.15625,1.15625,1.1875,12480.0,1.15625,9137.0,0.243243247270584,1.34375,1.4375,12480.0,1.4375,5655.0,-0.0434782616794109,1.25,1.375,12480.0,1.375,6452.0,-0.136363640427589,1.1875,1.25,12480.0,1.1875,3574.0,-0.0526315793395042,1.125,1.3125,12480.0,1.125,12858.0,0.5,1.6875,1.8125,12480.0,1.6875,9222.0,0.0370370373129845,1.625,1.75,12480.0,1.75,5036.0,-0.107142858207226,1.5625,1.6875,12505.0,1.5625,3361.0,0.0599999986588955,1.625,1.6875,12505.0,1.65625,14994.0,-0.169811323285103,1.375,1.5,12505.0,1.375,8568.0,-0.0909090936183929,1.25,1.3125,12505.0,1.25,5013.0,0.100000001490116,1.375,1.40625,12505.0,1.375,5883.0,0.0454545468091965,1.4375,1.53125,12505.0,1.4375,2359.0,-0.0652173906564713,1.28125,1.34375,12505.0,1.34375,2060.0,-0.0465116277337074,1.28125,1.3125,12505.0,1.28125,4162.0,0.0487804859876633,1.34375,1.40625,12505.0,1.34375,6432.0,0.255813956260681,1.6875,1.75,12505.0,1.6875,7102.0,-0.0925925895571709,1.53125,1.59375,12505.0,1.53125,3963.0,0.061224490404129,1.625,1.6875,22137.0,1.625,4787.0,0.0,1.625,1.65625,22137.0,1.625
4,76089810,116.0,0.400000005960464,3.0,4.0,1149.0,-3.5,64.0,0.0,3.0,4.0,1149.0,-3.5,21.0,0.0157142858952284,3.0,4.0,1149.0,-3.5,53.0,-0.142857149243355,3.0,4.0,1149.0,3.0,35.0,0.0833333358168602,3.25,4.25,1149.0,3.25,62.0,0.170769229531288,3.25,4.25,1124.0,-3.75,41.0,0.0,3.25,4.25,1124.0,-3.75,296.0,0.414666652679443,4.75,5.75,1124.0,5.25,127.0,-0.095238097012043,4.25,5.25,1124.0,-4.75,33.0,0.0,4.25,5.25,1124.0,-4.75,287.0,0.0642105266451836,4.5,5.5,1124.0,-5.0,206.0,-0.0500000007450581,4.75,5.75,1124.0,4.75,295.0,0.473684221506119,6.5,7.5,1124.0,-7.0,209.0,0.0,6.5,7.0,1124.0,7.0,165.0,0.00785714294761419,6.5,7.0,1125.0,7.0,163.0,-0.0178571436554193,6.5,7.25,1125.0,-6.875,84.0,-0.028363635763526,6.25,7.0,1125.0,-6.625,198.0,-0.0188679248094559,6.0,7.0,1125.0,-6.5,104.0,-0.15384615957737,5.0,6.0,1125.0,-5.5,210.0,-0.103636361658573,4.5,5.25,1125.0,-4.875,140.0,0.0256410259753466,4.5,5.5,1125.0,5.0,245.0,0.0,4.5,5.5,1125.0,-5.0,143.0,0.0109999999403954,4.5,5.5,1125.0,-5.0,441.0,-0.100000001490116,4.5,5.5,1125.0,4.5,229.0,0.277777791023254,5.25,6.25,1125.0,-5.75,247.0,0.00956521742045879,5.25,6.25,1125.0,-5.75,19.0,-0.0434782616794109,5.0,6.0,1125.0,-5.5,38.0,-0.0909090936183929,4.0,5.0,1125.0,5.0,50.0,0.0610000006854534,4.25,5.25,1125.0,5.25,24.0,-0.0714285746216774,4.5,5.25,1125.0,-4.875,104.0,0.102564103901386,5.0,5.75,1125.0,-5.375,179.0,0.0567441843450069,5.25,6.0,1125.0,-5.625,53.0,0.0,5.25,6.0,1125.0,-5.625,199.0,-0.0222222227603197,5.25,6.0,1125.0,5.5,166.0,0.259999990463257,6.5,7.25,1125.0,-6.875,243.0,-0.200000002980232,5.5,6.5,1126.0,5.5
5,08204710,538.0,0.0500000007450581,1.125,1.3125,3413.0,1.3125,1342.0,0.28571429848671,1.5,1.6875,3413.0,1.6875,5263.0,0.0370370373129845,1.625,1.75,3414.0,1.75,890.0,0.0714285746216774,1.625,1.875,3414.0,1.875,369.0,-0.133333340287209,1.25,1.625,3414.0,1.625,216.0,-0.15384615957737,1.1875,1.375,3414.0,1.375,3037.0,0.181818187236786,1.625,2.0,3415.0,1.625,415.0,0.0769230797886848,1.5,1.75,3415.0,1.75,290.0,0.0,1.5,1.75,3415.0,1.75,262.0,-0.0714285746216774,1.5,1.625,3415.0,1.625,507.0,0.0769230797886848,1.4375,1.75,3415.0,1.75,957.0,0.0,1.375,1.75,3415.0,1.75,1532.0,0.178571432828903,2.0,2.25,3415.0,2.0625,2287.0,0.0909090936183929,1.875,2.25,3415.0,2.25,1478.0,0.0555555559694767,2.125,2.375,3415.0,2.375,638.0,-0.0526315793395042,2.0,2.25,3415.0,2.25,277.0,0.0555555559694767,2.0,2.375,3415.0,2.375,429.0,0.0,2.0,2.375,3415.0,2.375,187.0,0.0,2.0,2.375,3415.0,2.375,578.0,0.0,2.0,2.375,3415.0,2.375,267.0,-0.0526315793395042,2.0,2.25,3415.0,2.25,813.0,0.111111111938953,2.25,2.5,3415.0,2.5,4289.0,0.649999976158142,3.875,4.125,3415.0,4.125,2599.0,-0.242424249649048,2.875,3.125,3416.0,3.125,550.0,-0.0399999991059303,2.875,3.0,3416.0,3.0,308.0,0.0,2.875,3.0,3416.0,3.0,1101.0,0.0,2.875,3.0,3416.0,3.0,1211.0,-0.0416666679084301,2.625,2.875,3416.0,2.875,2224.0,0.130434781312943,3.25,3.5,3416.0,3.25,3298.0,0.192307695746422,3.625,3.875,3416.0,3.875,1293.0,-0.161290317773819,3.0,3.25,3416.0,3.25,3636.0,0.230769231915474,4.0,4.25,3416.0,4.0,3015.0,0.09375,4.125,4.375,3416.0,4.375,1200.0,0.371428579092026,5.625,6.0,3416.0,6.0,2193.0,0.0859375,6.5,6.625,3416.0,6.515625,1382.0,0.0359712243080139,6.5,6.75,3416.0,6.75
6,29674410,363.0,-0.214285716414452,2.5,3.0,1680.0,-2.75,392.0,0.181818187236786,3.25,3.75,1680.0,3.25,1909.0,0.15384615957737,3.5,4.0,1684.0,3.75,782.0,-0.100000001490116,3.25,3.75,1684.0,3.375,401.0,-0.0370370373129845,3.0,3.5,1684.0,3.25,809.0,-0.0769230797886848,2.5,3.0,1675.0,3.0,961.0,0.0,2.25,3.0,1675.0,3.0,395.0,0.0,2.75,3.0,1675.0,3.0,1223.0,0.333333343267441,3.5,4.0,1685.0,4.0,499.0,-0.125,2.75,3.5,1685.0,3.5,141.0,-0.214285716414452,2.5,3.0,1685.0,-2.75,870.0,0.0,2.375,2.75,1685.0,2.75,432.0,-0.136363640427589,2.375,2.75,1685.0,2.375,473.0,0.0,2.375,2.75,1685.0,2.375,599.0,0.105263158679008,2.5,2.75,1814.0,2.625,569.0,0.190476194024086,2.625,3.125,1814.0,3.125,415.0,-0.0799999982118607,2.625,3.125,1814.0,-2.875,320.0,-0.130434781312943,2.5,2.75,1685.0,2.5,518.0,0.100000001490116,2.5,3.0,1685.0,2.75,1046.0,-0.318181812763214,1.75,2.125,1685.0,1.875,436.0,0.333333343267441,2.25,2.75,1816.0,2.5,677.0,0.0500000007450581,2.5,2.75,1816.0,-2.625,973.0,-0.28571429848671,1.875,2.25,1816.0,1.875,1373.0,-0.0666666701436043,1.5,1.75,1816.0,1.75,655.0,0.0,1.5,2.0,1816.0,-1.75,1038.0,0.214285716414452,2.125,2.625,1816.0,2.125,269.0,-0.0588235296308994,1.5,2.0,1817.0,2.0,1060.0,-0.4375,1.0,1.25,1817.0,1.125,626.0,0.5,1.625,1.75,1817.0,-1.6875,451.0,0.111111111938953,1.75,2.0,1824.0,-1.875,168.0,0.100000001490116,1.875,2.25,1824.0,-2.0625,258.0,-0.0909090936183929,1.875,2.125,1824.0,1.875,415.0,0.0,1.75,2.0,1824.0,-1.875,169.0,0.0,1.875,2.125,1824.0,1.875,203.0,0.0,1.875,2.125,1824.0,1.875,957.0,-0.333333343267441,1.125,1.375,1824.0,1.25
7,74465010,523.0,0.142857149243355,0.75,1.25,4862.0,1.0,168.0,0.5,0.875,1.5,4862.0,1.5,3889.0,-0.416666656732559,0.875,1.125,4877.0,0.875,1371.0,0.0,0.625,1.125,4877.0,-0.875,257.0,0.0,0.75,1.0,4877.0,-0.875,199.0,-0.214285716414452,0.5,0.875,5253.0,-0.6875,96.0,0.181818187236786,0.625,1.0,5253.0,-0.8125,729.0,0.230769231915474,0.6875,1.0,5253.0,1.0,522.0,-0.5,0.5,0.9375,5259.0,0.5,276.0,-0.25,0.25,0.625,5259.0,0.375,1890.0,0.16666667163372,0.4375,0.625,5259.0,0.4375,2158.0,0.142857149243355,0.3125,0.5,5259.0,0.5,1301.0,-0.125,0.3125,0.5,5259.0,0.4375,1236.0,0.428571432828903,0.375,0.625,5259.0,0.625,162.0,-0.200000002980232,0.4375,0.5625,5148.0,-0.5,3294.0,0.5,0.5625,0.75,5148.0,0.75,199.0,-0.20833332836628,0.5,0.6875,5148.0,-0.59375,1124.0,0.157894730567932,0.5,0.6875,5148.0,0.6875,53.0,-0.136363640427589,0.5,0.6875,5148.0,-0.59375,2554.0,-0.473684221506119,0.25,0.375,5148.0,-0.3125,225.0,0.150000005960465,0.28125,0.4375,5148.0,-0.359375,377.0,-0.217391297221184,0.28125,0.4375,5148.0,0.28125,2135.0,0.0,0.21875,0.34375,5148.0,-0.28125,2599.0,0.333333343267441,0.3125,0.4375,5148.0,0.375,232.0,0.16666667163372,0.3125,0.4375,5148.0,0.4375,1084.0,0.214285716414452,0.4375,0.625,5148.0,-0.53125,187.0,-0.0588235296308994,0.4375,0.5625,5162.0,-0.5,186.0,0.0,0.3125,0.5,5162.0,0.5,77.0,-0.25,0.3125,0.4375,5162.0,-0.375,420.0,-0.20833332836628,0.21875,0.3125,5162.0,0.296875,691.0,0.263157904148102,0.28125,0.375,5162.0,0.375,665.0,-0.25,0.28125,0.375,5162.0,0.28125,55.0,0.16666667163372,0.28125,0.375,5162.0,-0.328125,2384.0,0.904761910438538,0.5625,0.6875,5162.0,-0.625,1125.0,0.0,0.625,0.75,5162.0,0.625,419.0,0.100000001490116,0.5625,0.6875,5162.0,0.6875
8,89378210,4188.0,0.230769231915474,1.0,1.125,5042.0,1.0,5384.0,0.0625,1.0625,1.125,5042.0,1.0625,3364.0,0.176470592617989,1.0625,1.25,5042.0,1.25,2366.0,-0.174999997019768,0.9375,1.03125,5042.0,1.03125,1427.0,0.030303031206131,1.0,1.0625,5042.0,1.0625,1286.0,-0.176470592617989,0.875,0.9375,5042.0,0.875,847.0,-0.142857149243355,0.625,0.8125,5042.0,0.75,911.0,0.16666667163372,0.8125,0.9375,5042.0,-0.875,1028.0,0.0,0.75,0.875,5042.0,0.875,1457.0,-0.214285716414452,0.6875,0.9375,5042.0,0.6875,1327.0,0.136363640427589,0.75,1.0,5042.0,0.78125,1871.0,-0.119999997317791,0.625,0.8125,5042.0,0.6875,3107.0,0.363636374473572,0.875,1.0,5042.0,0.9375,5644.0,0.200000002980232,1.0625,1.1875,5042.0,1.125,3809.0,0.0555555559694767,1.125,1.25,5042.0,-1.1875,2204.0,0.0,1.1875,1.3125,5042.0,1.1875,2584.0,0.0526315793395042,1.1875,1.25,5042.0,1.25,2205.0,0.0750000029802322,1.34375,1.4375,5042.0,1.34375,2387.0,-0.0465116277337074,1.28125,1.40625,5042.0,1.28125,1853.0,-0.170731708407402,1.0625,1.1875,5042.0,1.0625,691.0,0.0,1.0625,1.1875,5042.0,1.0625,1987.0,0.117647059261799,1.125,1.25,5042.0,-1.1875,1480.0,-0.157894730567932,1.0,1.1875,5042.0,1.0,2026.0,-0.125,0.875,1.0,5042.0,0.875,7299.0,0.928571403026581,1.625,1.8125,5042.0,1.6875,12811.0,0.592592597007751,2.6875,2.8125,5042.0,2.6875,9021.0,-0.0697674453258514,2.375,2.5,5042.0,2.5,4061.0,-0.125,2.0625,2.1875,5042.0,2.1875,2738.0,-0.0285714287310839,2.0,2.125,5042.0,2.125,1722.0,-0.0588235296308994,2.0,2.125,5042.0,2.0,3008.0,0.0,1.75,2.0,5042.0,2.0,3622.0,0.15625,2.3125,2.4375,5042.0,2.3125,2536.0,0.0810810774564743,2.3125,2.5,5042.0,2.5,2090.0,-0.174999997019768,1.9375,2.0625,5042.0,2.0625,1674.0,0.0,2.0,2.0625,5042.0,2.0625,1693.0,-0.121212124824524,1.75,1.9375,5042.0,1.8125
9,45031S10,300.0,-0.117647059261799,7.0,8.0,678.0,-7.5,76.0,-0.0333333350718021,3.25,4.0,1356.0,-3.625,552.0,0.0,3.25,3.75,1565.0,3.625,2030.0,0.275862067937851,4.5,5.0,1565.0,4.625,604.0,0.10810811072588,4.5,5.25,1565.0,5.125,308.0,-0.0975609719753265,4.25,5.0,1622.0,-4.625,883.0,0.0270270276814699,4.25,4.75,1622.0,4.75,331.0,0.105263158679008,4.5,5.25,1622.0,5.25,146.0,-0.190476194024086,3.75,4.75,1700.0,-4.25,1402.0,0.352941185235977,5.5,6.0,1700.0,5.75,881.0,0.0869565233588219,6.0,6.5,1700.0,-6.25,1270.0,0.0399999991059303,6.0,7.0,1717.0,6.5,409.0,0.0480769239366054,6.625,7.0,1717.0,-6.8125,377.0,0.027522936463356,6.75,7.25,1717.0,-7.0,197.0,-0.0357142873108387,6.5,7.0,1717.0,-6.75,302.0,0.0370370373129845,6.5,7.0,1717.0,7.0,204.0,-0.0714285746216774,6.5,7.0,1717.0,6.5,1143.0,0.115384615957737,6.75,7.5,1723.0,7.25,540.0,-0.206896558403969,5.75,6.5,1723.0,5.75,254.0,-0.0434782616794109,5.5,6.0,1723.0,5.5,321.0,0.0113636367022991,5.375,5.75,2339.0,-5.5625,880.0,-0.0112359551712871,5.5,6.0,2339.0,5.5,265.0,0.0,5.25,5.75,2339.0,-5.5,348.0,-0.136363640427589,4.75,5.25,2358.0,4.75,130.0,0.0263157896697521,4.875,5.25,2358.0,4.875,151.0,0.0,4.625,5.125,2358.0,-4.875,280.0,-0.192307695746422,3.75,4.125,2364.0,-3.9375,44.0,0.0158730167895555,3.75,4.375,2364.0,4.0,107.0,0.0,3.75,4.0,2364.0,4.0,241.0,-0.03125,3.625,4.125,2349.0,-3.875,1074.0,0.451612889766693,5.0,5.625,2349.0,5.625,661.0,0.133333340287209,5.875,6.375,2349.0,6.375,1196.0,0.333333343267441,7.875,8.5,2349.0,8.5,226.0,0.0,7.5,8.375,2349.0,8.5,204.0,-0.073529414832592,7.75,7.875,2349.0,7.875,244.0,-0.0476190485060215,7.125,7.75,2449.0,7.5
