,date,cusip,permno,permco,bidlo,askhi,prc,vol,ret,bid,ask,shrout,openprc,numtrd,retx,gvkey,datadate,fyearq,fqtr,fyr,tic,cusip,conm,datacqtr,datafqtr,rp,rdq,actq,altoq,ancq,aoq,arcedq,arceepsq,arceq,atq,cshfd12,ceqq,dd1q,cheq,chq,cogsq,csh12q,cshiq,cshopq,cshoq,dlcq,dlttq,dpq,dpretq,drcq,drltq,gdwlq,glaq,npq,ibcomq,ibmiiq,ibq,obkq,intanoq,intanq,invtq,lctq,lltq,lseq,ltq,niq,nopiq,oibdpq,piq,ppegtq,ppentq,prcraq,rcaq,rectq,rectrq,revtq,saleq,stkcoq,teqq,tstknq,txdbaq,txdbq,txdiq,txpq,txtq,udoltq,uinvq,ulcoq,wcapq,xintq,xoprq,xrdq,xsgaq,amcy,aqcy,capxy,cdvcy,chechy,cogsy,depcy,dltisy,dltry,dpcy,dprety,dpy,dvpy,dvy,ffoy,fincfy,gdwliay,gdwlipy,ibmiiy,intpny,invchy,ivncfy,niy,nopiy,oancfy,piy,prstkccy,prstkcy,revty,saley,scstkcy,stkcoy,txdcy,txpdy,txty,uwkcapcy,wcapchy,xopry,xrdy,xsgay,cshtrq,dvpspq,mkvaltq,prccq,prchq,prclq
0,2012-10-22,00481610,60038.0,370.0,11.5699996948242,11.8699998855591,11.6999998092651,6300.0,-0.0144713195040822,11.6499996185303,11.710000038147,3103.0,11.8699998855591,,-0.0144713195040822,001104,2012-09-30,2012.0,3.0,12.0,ACU,004816104,ACME UNITED CORP,2012Q3,2012Q3,Q,2012-10-19,58.066,1.213,9.595,7.207,,,,67.661,3.1303,30.378,0.0,10.105,10.105,12.671,3.1168,4.459,,3.103,0.0,24.321,0.266,,0.0,0.0,0.0,,0.0,0.798,0.798,0.798,,4.276,4.276,29.992,11.809,25.474,67.661,37.283,0.798,0.034,1.625,1.268,10.672,2.388,,,16.058,16.058,20.363,20.363,0.093,30.378,1.356,,0.0,,0.0,0.47,,,,46.257,0.125,18.738,,6.067,,1.474,0.516,,2.252,40.859,,6.752,0.0,0.785,,0.785,0.0,0.654,,5.749,,,3.118,,-5.068,-2.093,3.118,0.024,-1.474,4.601,,0.37,64.835,64.835,,0.326,,,1.483,,,59.155,,18.296,442875.0,0.07,36.6775,11.82,11.82,10.2
1,2012-10-22,32074410,83934.0,14940.0,8.63000011444092,8.89000034332275,8.63000011444092,23092.0,-0.0237556602805853,8.64999961853027,8.78999996185303,9215.0,8.80000019073486,80.0,-0.0237556602805853,063551,2012-09-30,2012.0,3.0,12.0,FMFC,320744105,FIRST M&F CORP,2012Q3,2012Q3,Q,2012-10-19,,,,409.145,,,,1553.177,9.163,98.476,,84.382,,4.733,9.163,9.215,0.0,9.215,8.142,66.995,0.588,,,,0.0,,,1.315,1.794,1.794,,4.266,4.266,51.55,,,1553.177,1436.173,1.794,-5.233,8.26,2.439,,37.429,,,970.671,,,21.232,0.148,117.004,0.0,,0.0,,,0.645,,,,,,12.972,,8.239,,0.0,0.832,,1.629,15.524,,0.0,4.017,1.758,,1.758,1.413,0.734,,-25.929,,,5.154,9.21,-1.429,10.735,5.154,-16.042,16.823,6.91,,0.0,,64.799,,0.396,1.754,0.192,1.756,,,40.089,,24.565,549265.0,0.01,68.3753,7.42,7.49,5.15
2,2012-10-22,92934C10,12106.0,9884.0,5.69000005722046,5.76000022888184,5.69999980926514,22548.0,0.00527320429682732,5.67999982833862,5.69999980926514,7995.0,5.69999980926514,30.0,0.00527320429682732,017148,2012-09-30,2012.0,3.0,12.0,WSB,92934C101,WSB HOLDINGS INC,2012Q3,2012Q3,Q,2012-10-19,,,,131.014,,,,373.253,7.995,55.594,,38.379,,1.149,7.995,7.995,,7.995,0.0,68.0,0.109,,,,0.0,,,-0.004,-0.004,-0.004,,0.0,0.0,15.594,,,373.253,317.659,-0.004,-1.439,1.469,-0.079,,4.852,,,183.414,,,4.636,0.0,55.594,0.0,6.336,0.0,,,-0.075,,,,,,3.167,,2.018,,0.0,0.392,,33.977,3.668,,0.0,16.0,0.338,,0.338,0.0,0.0,,-13.356,,,0.448,3.645,0.442,44.661,0.448,-4.159,2.672,0.588,,0.0,,14.681,,0.0,1.67,0.0,0.14,,,9.596,,5.928,1233736.0,0.0,45.1718,5.65,5.899,2.22
3,2012-10-22,65175410,91406.0,50977.0,17.1399993896484,17.1499996185303,17.1399993896484,500.0,-0.00637684715911746,16.0200004577637,17.1499996185303,3469.0,17.1499996185303,2.0,-0.00637684715911746,174148,2012-09-30,2012.0,3.0,12.0,NFSB,651754103,NEWPORT BANCORP INC,2012Q3,2012Q3,Q,2012-10-19,,,,56.395,,,,471.567,3.341,52.614,,34.451,,1.6,3.3148,4.878,0.036,3.216,0.0,136.772,0.233,,,,0.0,,,0.417,0.417,0.417,,0.0,0.0,0.157,,,471.567,418.953,0.417,-0.772,1.634,0.629,,13.702,14.48,,366.862,,,5.463,,52.614,1.662,2.809,0.0,,,0.212,,,,,,3.829,,2.229,,0.0,0.114,,3.377,5.107,,5.0,1.924,0.703,,0.703,0.0,0.0,,16.029,,,1.072,4.321,0.0,-14.912,1.072,-2.258,2.26,1.584,,0.603,,16.444,,,0.0,0.569,0.512,,,11.899,,6.792,276352.0,0.0,47.7576,14.85,14.85,13.7
4,2012-10-22,40108P10,81560.0,13662.0,6.75,7.5,7.25,1380.0,-0.0572171732783318,7.15999984741211,7.44999980926514,2725.0,6.75,7.0,-0.0572171732783318,031703,2012-09-30,2012.0,3.0,12.0,GFED,40108P101,GUARANTY FED BANCSHARES INC,2012Q3,2012Q3,Q,2012-10-19,,,,131.476,,,,653.584,2.7115,38.25,,38.642,,4.304,2.7115,6.782,0.0,2.725,0.0,108.515,0.207,,,,0.0,,,-0.916,-0.717,-0.717,,0.0,0.0,10.209,,,653.584,603.593,-0.717,-1.142,0.166,-1.183,,11.357,,,461.9,,,7.224,0.017,49.991,4.057,4.267,0.0,,,-0.466,,,,,,7.058,,2.754,,0.0,0.471,,12.068,10.886,,0.0,0.0,0.538,,0.538,0.878,0.594,,3.498,,,0.462,,0.681,0.569,0.462,-3.348,8.001,-0.116,,5.026,,22.823,,0.048,-0.087,,-0.578,,,19.053,,8.167,205606.0,0.0,20.4375,7.5,8.75,6.29
5,2012-10-22,27719610,85728.0,15912.0,5.19999980926514,5.30000019073486,5.19999980926514,345.0,0.00773237459361553,5.17999982833862,5.34999990463257,6070.0,5.30000019073486,2.0,0.00773237459361553,066148,2012-09-30,2012.0,3.0,12.0,EVBS,277196101,EASTERN VA BANKSHARES INC,2012Q3,2012Q3,Q,2012-10-19,,,,305.284,,,,1057.77,6.039,74.196,,41.951,,3.447,6.039,6.07,0.0,6.07,5.522,127.81,0.511,,,,15.97,0.128,,0.486,0.861,0.861,,0.0,15.97,9.19,,,1057.77,959.953,0.861,-2.842,4.286,1.13,,20.292,,,681.053,,,12.916,0.019,97.817,0.0,11.447,0.0,,,0.269,,,,,,8.63,,5.183,,0.0,1.825,,17.385,13.694,,0.0,0.0,1.583,,1.583,1.125,0.0,,-9.083,,,2.523,8.784,0.0,12.648,2.523,-8.22,13.82,3.127,,0.0,,41.835,,0.046,0.68,,0.604,,,29.102,,15.408,192262.0,0.0,28.8325,4.75,5.0,3.6501
6,2012-10-22,29082810,93131.0,53285.0,22.1000003814697,22.1000003814697,22.1000003814697,237.0,-0.0391638055443764,22.1000003814697,22.8999996185303,1752.0,22.1000003814697,4.0,-0.0391638055443764,064193,2012-09-30,2012.0,3.0,12.0,EMCF,290828102,EMCLAIRE FINANCIAL CORP,2012Q3,2012Q3,Q,2012-10-19,,,,166.763,,,,530.173,1.7523,42.165,,23.027,,2.605,1.7523,1.854,0.0,1.752,0.0,20.0,0.246,,,,3.664,,,0.551,0.669,0.669,,1.308,4.972,,,,530.173,478.008,0.669,-0.925,1.907,0.736,,8.952,,,331.431,,,6.698,0.032,52.165,0.102,,,,,0.067,,,,,,4.791,,2.186,,0.0,0.431,,-5.166,5.399,,0.0,0.0,0.782,,0.782,0.368,1.313,,35.716,,,2.963,3.837,0.0,-44.1,2.963,-2.758,3.218,3.798,,0.0,,19.752,,0.092,,1.465,0.835,,,12.414,,7.015,35408.0,0.18,39.3324,22.45,25.0,18.6
7,2012-10-22,84502A10,83831.0,31718.0,9.22000026702881,9.5,9.5,700.0,0.030368734151125,9.47999954223633,9.5,2548.0,9.23999977111816,,0.030368734151125,063543,2012-09-30,2012.0,3.0,12.0,SGB,84502A104,SOUTHWEST GEORGIA FINL CORP,2012Q3,2012Q3,Q,2012-10-19,,,,83.283,,,,332.232,2.548,29.119,,36.808,,0.574,2.548,4.294,,2.548,2.0,20.0,0.281,,,,0.0,,,0.421,0.421,0.421,,0.381,0.381,1.837,,,332.232,303.113,0.421,-0.74,1.501,0.48,,10.567,,,199.737,,,4.606,,29.119,1.746,,0.0,,,0.059,,,,,,3.105,,2.531,,0.0,1.272,,14.042,1.753,,0.0,0.0,0.814,,0.814,0.0,0.306,,26.434,,,1.297,,,-13.978,1.297,-2.156,1.586,1.51,,0.0,,14.39,,,0.0,,0.213,,,9.91,,8.157,43823.0,0.04,25.4545,9.99,9.99,7.03
8,2012-10-22,92935810,79885.0,12618.0,8.5,9.0,-8.75,0.0,0.0233917906880379,8.5,9.0,2058.0,,0.0,0.0233917906880379,029300,2012-09-30,2013.0,1.0,6.0,WVFC,929358109,WVS FINANCIAL CORP,2012Q3,2013Q1,Q,2012-10-19,,,,253.895,,,,296.854,2.058,31.109,,3.408,,0.348,2.058,3.806,,2.058,105.438,17.5,0.023,,,,0.0,,,0.385,0.385,0.385,,0.0,0.0,0.239,,,296.854,265.745,0.385,-0.342,0.831,0.466,,0.608,,,38.704,,,1.747,0.006,31.109,1.748,0.839,0.0,,,0.081,,,,,,0.916,,0.568,,0.0,0.048,,0.056,0.348,,0.0,0.0,0.023,,0.023,0.0,0.081,,25.588,,,0.385,0.371,0.0,-26.263,0.385,-0.342,0.731,0.466,,0.0,,1.747,,0.006,0.208,0.141,0.081,,,0.916,,0.568,97009.0,0.04,17.246,8.38,8.86,6.82
9,2012-10-22,19623P10,85966.0,16037.0,3.64000010490417,4.19999980926514,3.9300000667572,1953.0,0.0977654084563255,3.82999992370605,3.99000000953674,8439.0,3.64000010490417,18.0,0.0977654084563255,066504,2012-09-30,2012.0,3.0,12.0,CBAN,19623P101,COLONY BANKCORP INC,2012Q3,2012Q3,Q,2012-10-19,,,,268.93,,,,1097.437,8.4378,68.584,,74.233,,4.268,8.4378,8.439,0.0,8.439,0.0,54.229,0.431,,,,0.0,,,0.411,0.772,0.772,,0.232,0.232,17.091,,,1097.437,1001.068,0.772,-3.983,5.55,1.136,,25.212,,,711.971,,,14.651,,96.369,0.0,,0.0,,,0.364,,,,,,9.101,,4.833,,0.0,0.723,,-18.349,14.342,,0.0,41.0,1.261,,1.261,1.07,0.0,,-99.781,,,2.073,,0.0,64.02,2.073,-9.987,17.412,3.026,,0.0,,43.003,,,,,0.953,,,28.729,,14.387,303564.0,0.0,31.0555,3.68,5.48,3.22
