DATE,vwretd
19500131,0.017764
19500228,0.015234
19500331,0.012742
19500429,0.040678
19500531,0.044173
19500630,-0.058018
19500731,0.016122
19500831,0.050875
19500929,0.049044
19501031,-0.001184
19501130,0.029056
19501230,0.057946
19510131,0.058735
19510228,0.014086
19510331,-0.021115
19510430,0.050061
19510531,-0.022464
19510629,-0.025533
19510731,0.071611
19510831,0.045004
19510928,0.009087
19511031,-0.022629
19511130,0.006193
19511231,0.035266
19520131,0.017002
19520229,-0.025141
19520331,0.045870
19520430,-0.049148
19520529,0.032847
19520630,0.039575
19520731,0.011404
19520829,-0.006733
19520930,-0.019147
19521031,-0.005309
19521128,0.059347
19521231,0.031066
19530130,-0.001644
19530227,-0.001820
19530331,-0.012862
19530430,-0.027705
19530529,0.006921
19530630,-0.016377
19530731,0.025111
19530831,-0.044056
19530930,0.003010
19531030,0.047523
19531130,0.028501
19531231,0.000678
19540129,0.052722
19540226,0.017551
19540331,0.037377
19540430,0.043162
19540528,0.031704
19540630,0.011560
19540730,0.050668
19540831,-0.022763
19540930,0.064633
19541029,-0.016216
19541130,0.095387
19541231,0.055469
19550131,0.006838
19550228,0.031354
19550331,-0.000995
19550429,0.032352
19550531,0.012033
19550630,0.066108
19550729,0.020246
19550831,0.004197
19550930,-0.002009
19551031,-0.025752
19551130,0.071864
19551230,0.016543
19560131,-0.028119
19560229,0.039610
19560329,0.068456
19560430,0.005083
19560531,-0.049309
19560629,0.037251
19560731,0.050830
19560831,-0.029820
19560928,-0.049608
19561031,0.007292
19561130,0.004678
19561231,0.034957
19570131,-0.032121
19570228,-0.018703
19570329,0.024112
19570430,0.045179
19570531,0.036679
19570628,-0.005054
19570731,0.008938
19570830,-0.050051
19570930,-0.057586
19571031,-0.041251
19571129,0.025605
19571231,-0.037360
19580131,0.049595
19580228,-0.014257
19580331,0.033700
19580430,0.030833
19580529,0.024582
19580630,0.029493
19580731,0.044844
19580829,0.019181
19580930,0.048680
19581031,0.027184
19581128,0.030610
19581231,0.053099
19590130,0.009120
19590227,0.011220
19590331,0.004669
19590430,0.037899
19590529,0.019595
19590630,0.000676
19590731,0.034362
19590831,-0.012446
19590930,-0.044977
19591030,0.015746
19591130,0.018557
19591231,0.028043
19600129,-0.066244
19600229,0.014419
19600331,-0.012822
19600429,-0.015271
19600531,0.034098
19600630,0.022833
19600729,-0.022705
19600831,0.032215
19600930,-0.058673
19601031,-0.004705
19601130,0.048617
19601230,0.048537
19610131,0.063952
19610228,0.037005
19610330,0.030610
19610428,0.005645
19610531,0.025894
19610630,-0.028499
19610731,0.029955
19610831,0.026854
19610929,-0.019990
19611031,0.027331
19611130,0.045451
19611229,0.000713
19620131,-0.036147
19620228,0.019512
19620330,-0.004688
19620430,-0.063435
19620531,-0.084620
19620629,-0.082615
19620731,0.065438
19620831,0.023417
19620928,-0.050156
19621031,0.002184
19621130,0.110137
19621231,0.011865
19630131,0.051848
19630228,-0.021931
19630329,0.032917
19630430,0.047439
19630531,0.020051
19630628,-0.018030
19630731,-0.001718
19630830,0.052684
19630930,-0.011898
19631031,0.027708
19631129,-0.005549
19631231,0.021736
19640131,0.025790
19640228,0.017207
19640331,0.017636
19640430,0.004608
19640528,0.017403
19640630,0.015080
19640731,0.020118
