date,VOL
19860331,64786
19860430,19056
19860530,9810
19860630,10238
19860731,16057
19860829,9239
19860930,9928
19861031,54475
19861128,36692
19861231,25106
19870130,68271
19870227,61307
19870331,62044
19870430,73649
19870529,76247
19870630,60149
19870731,63151
19870831,70736
19870930,78974
19871030,249749
19871130,107893
19871231,122916
19880129,136982
19880229,97635
19880331,147118
19880429,80411
19880531,71816
19880630,83394
19880729,97897
19880831,129608
19880930,84717
19881031,106476
19881130,108356
19881230,71657
19890131,96105
19890228,125178
19890331,213367
19890428,79287
19890531,87594
19890630,74588
19890731,84855
19890831,96060
19890929,89407
19891031,181583
19891130,127676
19891229,101543
19900131,165459
19900228,99427
19900330,119091
19900430,127287
19900531,228306
19900629,162237
19900731,215638
19900831,276065
19900928,176809
19901031,306113
19901130,174275
19901231,133562
19910131,309348
19910228,248936
19910328,269471
19910430,276649
19910531,204154
19910628,188624
19910731,331440
19910830,268617
19910930,175003
19911031,222636
19911129,185589
19911231,169372
19920131,307397
19920228,290645
19920331,251545
19920430,447086
19920529,223443
19920630,423458
19920731,391756
19920831,289326
19920930,315016
19921030,360390
19921130,384873
19921231,356460
19930129,444067
19930226,485629
19930331,375894
19930430,407381
19930528,409397
19930630,381252
19930730,621318
19930831,587132
19930930,364684
19931029,429612
19931130,303956
19931231,293937
19940131,388566
19940228,430151
19940331,432548
19940429,586917
19940531,647218
19940630,1529667
19940729,961392
19940831,813535
19940930,607905
19941031,756589
19941130,647698
19941230,671999
19950131,702588
19950228,629239
19950331,894172
19950428,818770
19950531,840330
19950630,804345
19950731,1467723
19950831,1339888
19950929,1021997
19951031,1403784
19951130,1176832
19951229,1043014
19960131,1294123
19960229,1039275
19960329,1073939
19960430,856243
19960531,763195
19960628,816525
19960731,1369388
19960830,721863
19960930,821694
19961031,843654
19961129,1024312
19961231,1583262
19970131,1990370
19970228,1640764
19970331,1881786
19970430,2409661
19970530,1647301
19970630,1248304
19970731,2144034
19970829,1479293
19970930,1542885
19971031,1949517
19971128,1174645
19971231,1868560
19980130,1885365
19980227,2352682
19980331,2813645
19980430,2601052
19980529,2802361
19980630,3106879
19980731,3106531
19980831,3435782
