date,VOL
20080102,63083943
20080103,49601203
20080104,72093831
20080107,80226194
20080108,79217360
20080109,74319181
20080110,72448176
20080111,55196661
20080114,52792430
20080115,61671682
20080116,120781832
20080117,94395855
20080118,117593093
20080122,108970026
20080123,138027888
20080124,155793434
20080125,197020231
20080128,81019723
20080129,68023081
20080130,106433091
20080131,104344599
20080201,291147044
20080204,119912022
20080205,137532818
20080206,138315572
20080207,165268252
20080208,124871993
20080211,156832301
20080212,84854862
20080213,89040022
20080214,69115662
20080215,68166264
20080219,68254560
20080220,93057524
20080221,98794183
20080222,125719830
20080225,110007374
20080226,109187401
20080227,75260140
20080228,83102382
20080229,117390135
20080303,76582167
20080304,87925708
20080305,107448884
20080306,92932797
20080307,77908078
20080310,72538270
20080311,98770237
20080312,75893699
20080313,84587134
20080314,105082822
20080317,84159830
20080318,83692495
20080319,62178637
20080320,60174053
20080324,48297016
20080325,49269093
20080326,46040114
20080327,47894557
20080328,49262025
20080331,46653844
20080401,66050634
20080402,49505157
20080403,38965645
20080404,43899962
20080407,44456679
20080408,46573905
20080409,45860829
20080410,65596908
20080411,54315955
20080414,43418295
20080415,34310177
20080416,54107335
20080417,48776934
20080418,73658814
20080421,54412523
20080422,67392396
20080423,98352026
20080424,116471882
20080425,145218951
20080428,97523305
20080429,84441818
20080430,74748115
20080501,71699754
20080502,66013233
20080505,119665617
20080506,93581520
20080507,88773731
20080508,69590391
20080509,51619799
20080512,64287468
20080513,70934643
20080514,70016878
20080515,53363755
20080516,81542244
20080519,59626096
20080520,75767531
20080521,60125021
20080522,52210261
20080523,48911380
20080527,47305614
20080528,52292318
20080529,47699107
20080530,63400611
20080602,77039959
20080603,91650569
20080604,79612583
20080605,76063353
20080606,78606224
20080609,66787262
20080610,77433857
20080611,59331780
20080612,113996301
20080613,131987236
20080616,74725259
20080617,44606939
20080618,49724129
20080619,62048194
20080620,96168092
20080623,57154959
20080624,65225496
20080625,64285144
20080626,67049413
20080627,73468224
20080630,57836460
20080701,99838087
20080702,84165554
20080703,36946293
20080707,71083066
20080708,65470546
20080709,54403758
20080710,57837382
20080711,71832125
20080714,51219139
20080715,92719916
20080716,84468384
20080717,96533103
20080718,150276921
20080721,77575545
20080722,88657164
20080723,79777641
20080724,81092722
20080725,58689900
20080728,60466068
20080729,66598548
20080730,51980016
20080731,60464856
20080801,82733534
20080804,60593189
20080805,84305010
20080806,95571186
20080807,82566119
20080808,80817844
20080811,68750329
20080812,62838223
20080813,51168957
20080814,49733756
20080815,47268995
20080818,39078114
20080819,40346549
20080820,41544580
20080821,43622359
20080822,47930392
20080825,51395730
20080826,44800788
20080827,34108597
20080828,48380695
20080829,50753881
20080902,66282393
20080903,57420303
20080904,66934001
20080905,82309328
20080908,62110930
20080909,85735163
20080910,75064901
20080911,72914650
20080912,75639994
20080915,82353954
20080916,112747878
20080917,106989958
20080918,131925878
20080919,135073291
20080922,105207700
20080923,92247395
20080924,80256288
20080925,96206117
20080926,100944280
20080929,134384346
20080930,107216347
20081001,88987441
20081002,94029287
20081003,116068447
20081006,146408927
20081007,145968545
20081008,171856716
20081009,131968450
20081010,228491350
20081013,144973141
20081014,165683724
20081015,113280181
20081016,161162823
20081017,133676089
20081020,93487172
20081021,100385538
20081022,147839092
20081023,154775677
20081024,153214148
20081027,117722353
20081028,134068365
20081029,111763461
20081030,95324169
20081031,93063602
20081103,61947313
20081104,72194471
20081105,81216444
20081106,95593786
20081107,71231361
20081110,67607799
20081111,78034124
20081112,90159844
20081113,148503100
20081114,96626994
20081117,97297206
20081118,108984798
20081119,103048823
20081120,139535108
20081121,157245554
20081124,125299097
20081125,92971983
20081126,79684538
20081128,31377114
20081201,79873774
20081202,79122108
20081203,81070909
20081204,78726402
20081205,91777329
20081208,108253069
20081209,80504085
20081210,61551499
20081211,83624673
20081212,78118275
20081215,59937659
20081216,92407165
20081217,76891953
20081218,80765009
20081219,115757088
20081222,58732344
20081223,47778031
20081224,16974090
20081226,23199001
20081229,59179913
20081230,43394660
20081231,46600185
20090102,50433106
20090105,60694932
20090106,58407236
20090107,73106725
20090108,70070671
20090109,50149407
20090112,52433135
20090113,66154548
20090114,80618586
20090115,86714215
20090116,80021987
20090120,90301641
20090121,68757549
20090122,223075533
20090123,117553395
20090126,94288815
20090127,62009403
20090128,64983335
20090129,49435396
20090130,62686872
20090202,89173216
20090203,87147093
20090204,75959655
20090205,75618116
20090206,87141414
20090209,52421163
20090210,84429757
20090211,58970467
20090212,75857087
20090213,47756652
20090217,76385286
20090218,55252306
20090219,49437619
20090220,69842909
20090223,71145450
20090224,123099462
20090225,106069684
20090226,83566209
20090227,93820115
20090302,80961422
20090303,80868725
20090304,70684512
20090305,90027031
20090306,93226731
20090309,66846323
20090310,95488139
20090311,84857244
20090312,96005763
20090313,83281023
20090316,67259054
20090317,62938503
20090318,71021167
20090319,59212042
20090320,81978055
20090323,71884311
20090324,50943652
20090325,74282403
20090326,64077576
20090327,47911869
20090330,49913184
20090331,92738417
20090401,96778318
20090402,99507016
20090403,82127350
20090406,47938400
20090407,66093673
20090408,56702928
20090409,56155347
20090413,44975474
20090414,64140330
20090415,73040147
20090416,68235053
20090417,61692003
20090420,63204744
20090421,61352507
20090422,59725637
20090423,86558789
20090424,168987574
20090427,68577201
20090428,77011476
20090429,79701974
20090430,87809063
20090501,63493601
20090504,54588980
20090505,67503284
20090506,59945623
20090507,69083954
20090508,67942118
20090511,64635299
20090512,72332283
20090513,49629198
20090514,54798720
20090515,61567072
20090518,46260420
20090519,51573276
20090520,47753827
20090521,58554951
20090522,37500176
20090526,45241868
20090527,43126076
20090528,45831764
20090529,46354129
20090601,57570252
20090602,49149452
20090603,56359661
20090604,42526965
20090605,59831577
20090608,49240930
20090609,51343140
20090610,61595101
20090611,65477402
20090612,51243539
20090615,69585676
20090616,105584814
20090617,86784933
20090618,59104399
20090619,115735220
20090622,71543562
20090623,57076567
20090624,54540291
20090625,58953583
20090626,65437902
20090629,63101491
20090630,66696524
20090701,55147156
20090702,65686113
20090706,49430872
20090707,53123429
20090708,73023310
20090709,47231231
20090710,43448299
20090713,67784537
20090714,45682785
20090715,67462584
20090716,64796984
20090717,53061837
20090720,48008195
20090721,52284025
20090722,68042192
20090723,106519309
20090724,215586820
20090727,81291839
20090728,70526303
20090729,73946007
20090730,68141046
20090731,55160498
20090803,47115414
20090804,49461030
20090805,53573569
20090806,60190120
20090807,46363273
20090810,37702540
20090811,33800593
20090812,62244530
20090813,39136437
20090814,46534013
20090817,42730634
20090818,39061145
20090819,42027093
20090820,39677649
20090821,69254394
20090824,54409934
20090825,44227276
20090826,41265274
20090827,45730911
20090828,56070441
20090831,49822217
20090901,62929628
20090902,40951428
20090903,34296548
20090904,45135328
20090908,53951689
20090909,50093311
20090910,46417532
20090911,54628333
20090914,42946306
20090915,44877056
20090916,50672943
20090917,42603771
20090918,68153200
20090921,29027036
20090922,61544709
20090923,60804596
20090924,56503353
20090925,50349307
20090928,44502020
20090929,39188821
20090930,63749286
20091001,76193795
20091002,51400066
20091005,60957255
20091006,48998275
20091007,38605383
20091008,60690004
20091009,39628926
20091012,29276402
20091013,37867477
20091014,45513844
20091015,65784070
20091016,56639538
20091019,48278851
20091020,54799487
20091021,61861576
20091022,61820761
20091023,282307936
20091026,124418011
20091027,69915079
20091028,73790700
20091029,65429625
20091030,73596996
20091102,62681547
20091103,50474756
20091104,64126435
20091105,52888832
20091106,39086812
20091109,57675538
20091110,66169925
20091111,49873402
20091112,55556032
20091113,54761707
20091116,54311506
20091117,75842637
20091118,59666475
20091119,52141503
20091120,42770651
20091123,41993292
20091124,37505004
20091125,32196941
20091127,29570655
20091130,44350550
20091201,50140044
20091202,36482023
20091203,43253065
20091204,59190170
20091207,38251077
20091208,37570601
20091209,44867186
20091210,46058394
20091211,43853264
20091214,34850659
20091215,49596777
20091216,55902503
20091217,43828267
20091218,94257245
20091221,40259370
20091222,36437532
20091223,28511919
20091224,11128240
20091228,25463000
20091229,29808984
20091230,42119985
20091231,32012113
20100104,38564668
20100105,49900508
20100106,58338993
20100107,50712549
20100108,51358330
20100111,68900092
20100112,66084958
20100113,51978474
20100114,63381444
20100115,80089852
20100119,46724866
20100120,55000779
20100121,73321633
20100122,102291200
20100125,63569452
20100126,66784662
20100127,64960437
20100128,117798168
20100129,194295037
20100201,86260465
20100202,54597037
20100203,61544822
20100204,78083402
20100205,81206226
20100208,52957820
20100209,59371179
20100210,48722883
20100211,66174124
20100212,81296995
20100216,52159884
20100217,46028779
20100218,42968004
20100219,44560085
20100222,36853481
20100223,52418529
20100224,43318926
20100225,48891386
20100226,40487439
20100301,44820834
20100302,93338918
20100303,48586126
20100304,43005172
20100305,56162876
20100308,39678829
20100309,50465825
20100310,45127881
20100311,35519618
20100312,31885799
20100315,37658708
20100316,37001975
20100317,50583888
20100318,43990805
20100319,81565790
20100322,38745946
20100323,43353187
20100324,34573737
20100325,73847707
20100326,55761222
20100329,33457512
20100330,35085758
20100331,63926519
20100401,74995587
20100405,34484806
20100406,47526693
20100407,58633402
20100408,63888947
20100409,54918644
20100412,37937983
20100413,41533062
20100414,69112321
20100415,52890528
20100416,88978443
20100419,65188017
20100420,52357243
20100421,55824161
20100422,85130056
20100423,127281987
20100426,63792191
20100427,68947579
20100428,64728871
20100429,52951792
20100430,64878194
20100503,44105870
20100504,82313486
20100505,66983905
20100506,128963727
20100507,174204868
20100510,87016805
20100511,64041493
20100512,47319863
20100513,45343643
20100514,63512391
20100517,46527948
20100518,52878734
20100519,62016361
20100520,88500471
20100521,118340375
20100524,73891494
20100525,98645850
20100526,176998976
20100527,136713930
20100528,67653200
20100601,76684893
20100602,65831814
20100603,67991693
20100604,89833991
20100607,80576618
20100608,87530336
20100609,88200667
20100610,79058584
20100611,68220350
20100614,51089381
20100615,81780737
20100616,52543270
20100617,48115468
20100618,52181955
20100621,54763206
20100622,56115031
20100623,61616162
20100624,85406027
20100625,156404023
20100628,74032871
20100629,120105270
20100630,81230315
20100701,92758919
20100702,62608717
20100706,73792333
20100707,80150255
20100708,50916295
20100709,53912021
20100712,50002881
20100713,62503024
20100714,72965082
20100715,57091601
20100716,65203105
20100719,38246901
20100720,45673202
20100721,73535706
20100722,73209212
20100723,108692831
20100726,67415560
20100727,61068730
20100728,70178889
20100729,69606075
20100730,83696662
20100802,55188814
20100803,57088203
20100804,78733427
20100805,65074128
20100806,56117777
20100809,57189799
20100810,87432483
20100811,76926742
20100812,70373296
20100813,45375973
20100816,41040068
20100817,53035076
20100818,46947887
20100819,54247637
20100820,49701095
20100823,51769826
20100824,66677374
20100825,47569615
20100826,49243144
20100827,61200744
20100830,45569742
20100831,66271640
20100901,65377782
20100902,48931997
20100903,64296536
20100907,52058505
20100908,65657285
20100909,46137804
20100910,58611515
20100913,114902782
20100914,87332723
20100915,56338280
20100916,44638938
20100917,70466206
20100920,49988162
20100921,53065156
20100922,95872205
20100923,46310180
20100924,52062122
20100927,43845925
20100928,56212131
20100929,44431547
20100930,61431767
20101001,62822496
20101004,98315872
20101005,78899850
20101006,50667363
20101007,50244944
20101008,41433173
20101011,27661908
20101012,50284409
20101013,75518170
20101014,52195290
20101015,69107961
20101018,48552000
20101019,66467854
20101020,56440198
20101021,50152248
20101022,25970150
20101025,51005104
20101026,69445583
20101027,64946079
20101028,80932488
20101029,114385586
20101101,62088619
20101102,54732252
20101103,110432451
20101104,112152109
20101105,129579449
20101108,87833810
20101109,58742379
20101110,52400936
20101111,62241264
20101112,65119833
20101115,51889637
20101116,65504379
20101117,58422777
20101118,59687256
20101119,52522214
20101122,53502441
20101123,69982122
20101124,56997213
20101126,21435707
20101129,56758627
20101130,75416787
20101201,74355307
20101202,91976741
20101203,52726206
20101206,36372701
20101207,58174910
20101208,41774267
20101209,47276996
20101210,37745689
20101213,48066016
20101214,64355573
20101215,69777369
20101216,57870101
20101217,87562555
